name,function,country,discipline
JAQUET Nicolas,Assistant Coach,France,Hockey
LORANTOS Theodoros,Head Coach,France,Water Polo
DERENTY Lorene,Assistant Coach,France,Water Polo
BRUZZO Florian,Head Coach,France,Water Polo
KOBESCAK Vjekoslav,Assistant Coach,France,Water Polo
MENDEZ Marcelo,Head Coach,Argentina,Volleyball
LOPEZ Martin,Assistant Coach,Argentina,Volleyball
RICO GOLBA Pablo,Assistant Coach,Argentina,Volleyball
ALVAREZ Jorge,Coach,Argentina,Taekwondo
ARROYO Gavin,Assistant Coach,United States,Water Polo
UDOVICIC Dejan,Head Coach,United States,Water Polo
USTASZEWSKI Matt,Assistant Coach,United States,Water Polo
CAHILL Molly,Assistant Coach,United States,Water Polo
KRIKORIAN Adam,Head Coach,United States,Water Polo
OEDING Chris,Assistant Coach,United States,Water Polo
AMADOU Soumaila,Coach,Niger,Taekwondo
KWIEK Marcos,Head Coach,Dominican Republic,Volleyball
ROCHA PACHECO Wagner,Assistant Coach,Dominican Republic,Volleyball
YAMAMOTO Hayato,Assistant Coach,Japan,Rugby Sevens
AMOR Simon Daniel Edward,Head Coach,Japan,Rugby Sevens
SUZUKI Takashi,Head Coach,Japan,Rugby Sevens
SAKATA Takahiro,Assistant Coach,Japan,Rugby Sevens
UMEDA Koichi,Assistant Coach,Japan,Rugby Sevens
KANEMATSU Yuka,Assistant Coach,Japan,Rugby Sevens
SANCHEZ DURAN Wilson,Assistant Coach,Dominican Republic,Volleyball
ZHANG Xiaohuan,Coach,China,Artistic Swimming
WANG Jiuli,Coach,China,Artistic Swimming
HE Xiaochu,Coach,China,Artistic Swimming
SHEN Yingsha,Coach,China,Artistic Swimming
TARRES CAMPA Ana,Coach,China,Artistic Swimming
ZHAO Dantong,Coach,China,Artistic Swimming
BUGDAEV Kurban,Coach,Saudi Arabia,Taekwondo
ASMOLOV Natalia,Coach,Israel,Rhythmic Gymnastics
MAYRIN Ida,Coach,Israel,Rhythmic Gymnastics
SZUCS Krisztian,Coach,Hungary,Taekwondo
STSIAPANAVA Natalia,Coach,Israel,Rhythmic Gymnastics
VAISBURG Sergei,Coach,Israel,Artistic Gymnastics
KLEFNER BEN SHIMOL Moran,Coach,Israel,Artistic Gymnastics
ELNAFRAWY Mohamed,Assistant Coach,Egypt,Volleyball
BEN JABALLAH Maaouia,Coach,Tunisia,Archery
GUAN Jianmin,Coach,China,Taekwondo
KIM Young Jin,Coach,China,Taekwondo
KONG Fantao,Coach,China,Taekwondo
ZUSSMAN Ayelet,Coach,Israel,Rhythmic Gymnastics
SAMOFALOV Ela,Coach,Israel,Rhythmic Gymnastics
ARZA Carlos Vivier,Head Coach,Angola,Handball
CATITO Nelson,Assistant Coach,Angola,Handball
CAI Bin,Head Coach,China,Volleyball
LI Yanlong,Assistant Coach,China,Volleyball
YUAN Zhi,Assistant Coach,China,Volleyball
HYTTEL Tobias,Coach,Denmark,Taekwondo
SETTA Tarik,Coach,Denmark,Taekwondo
ACHARKI Aziz,Coach,Denmark,Taekwondo
TUCAK Ivica,Head Coach,Croatia,Water Polo
POSINKOVIC Renco,Assistant Coach,Croatia,Water Polo
MARELJA Jure,Assistant Coach,Croatia,Water Polo
COURTEIX David,Head Coach,France,Rugby Sevens
IGARZA Germain,Assistant Coach,France,Rugby Sevens
COULIBALY Abdoulaye,Assistant Coach,Mali,Football
DIALLO Badara Alou,Head Coach,Mali,Football
DUNPHY Marv,2nd Assistant Coach,United States,Volleyball
KIRALY Karch,Head Coach,United States,Volleyball
MIYASHIRO Tama,Assistant Coach,United States,Volleyball
REFT Alfee,Assistant Coach,United States,Volleyball
VIRTUE Erin,Assistant Coach,United States,Volleyball
BROWN Gareth,Coach,United States,Taekwondo
FUERBRINGER Matt,Assistant Coach,United States,Volleyball
SPERAW John,Head Coach,United States,Volleyball
WEBER Javi,Assistant Coach,United States,Volleyball
WALL Mike,Assistant Coach,United States,Volleyball
TOKUMOTO Yukito,Assistant Coach,Japan,Volleyball
BLAIN Philippe,Head Coach,Japan,Volleyball
FUKATSU Takayuki,Assistant Coach,Japan,Volleyball
ITOH Kenji,Assistant Coach,Japan,Volleyball
MANABE Masayoshi,Head Coach,Japan,Volleyball
KAWAKITA Gen,Assistant Coach,Japan,Volleyball
REZA Surian,Coach,New Zealand,Artistic Gymnastics
CHEN Wei,Coach,China,Artistic Gymnastics
HE Hua,Coach,China,Artistic Gymnastics
JIN Weiguo,Coach,China,Artistic Gymnastics
LI Dezhi,Coach,China,Artistic Gymnastics
LIU Jinyu,Coach,China,Artistic Gymnastics
LIU Tao,Coach,China,Artistic Gymnastics
LU le,Coach,China,Artistic Gymnastics
SUN Ping,Coach,China,Artistic Gymnastics
TENG Haibin,Coach,China,Artistic Gymnastics
WANG Liming,Coach,China,Artistic Gymnastics
XU Jinglei,Coach,China,Artistic Gymnastics
ZHANG Haiyan,Coach,China,Artistic Gymnastics
ZHENG Hao,Coach,China,Artistic Gymnastics
YE Sheng,Coach,China,Artistic Gymnastics
SOTOMURA Kazutoshi,Coach,Japan,Artistic Gymnastics
SHINTAKU Yuya,Coach,Japan,Artistic Gymnastics
TOYOSHIMA Risa,Coach,Japan,Artistic Gymnastics
TANAKA Hikaru,Coach,Japan,Artistic Gymnastics
SATO Hiroaki,Coach,Japan,Artistic Gymnastics
SAITO Yoshihiro,Coach,Japan,Artistic Gymnastics
JUN Jung Hooi,Coach,Tajikistan,Taekwondo
LIKHADZIYEUSKI Anatoli,Coach,AIN,Taekwondo
ANTONYAN Sahak,Coach,Armenia,Artistic Gymnastics
BERZHETS Viachaslau,Coach,AIN,Taekwondo
NAZARYAN Hayk,Coach,Armenia,Artistic Gymnastics
OGANESIANTC Avetis,Coach,AIN,Taekwondo
de GIORGI Ferdinando,Head Coach,Italy,Volleyball
CAPONERI Massimo,Assistant Coach,Italy,Volleyball
GIOLITO Nicola,Assistant Coach,Italy,Volleyball
VELASCO Julio,Head Coach,Italy,Volleyball
BARBOLINI Massimo,Assistant Coach,Italy,Volleyball
BERNARDI Lorenzo,Assistant Coach,Italy,Volleyball
van DAMME Koen,Coach,Belgium,Artistic Gymnastics
DUGONJIC Ivo Martin,Head Coach,Uruguay,Rugby Sevens
PUIG CARPANETO Gabriel,Assistant Coach,Uruguay,Rugby Sevens
PRUNSKAS Algimantas,Coach,Lithuania,Artistic Gymnastics
CAMPAGNA Alessandro,Head Coach,Italy,Water Polo
SILIPO Carlo,Head Coach,Italy,Water Polo
FARINELLI Roberta,Coach,Italy,Artistic Swimming
POMILIO Amedeo,Assistant Coach,Italy,Water Polo
GIALLOMBARDO Patrizia,Coach,Italy,Artistic Swimming
di CECCA Cosimino,Assistant Coach,Italy,Water Polo
JANECKOVA Katerina,Coach,Czechia,Artistic Gymnastics
LEAL COLMENAREZ Mario,Coach,Venezuela,Taekwondo
MOHAMMED Aisha,Coach,Nigeria,Basketball
GARCIA CABRERA David,Coach,Puerto Rico,Basketball
DELANEY Mike,Assistant Coach,New Zealand,Hockey
McALEESE Shea,Assistant Coach,New Zealand,Hockey
CLARK Gregg,Assistant Coach,New Zealand,Hockey
NICOL Greg,Head Coach,New Zealand,Hockey
MACKINTOSH Euan,Assistant Coach,New Zealand,Rugby Sevens
SWEENEY Cory,Head Coach,New Zealand,Rugby Sevens
GIBBS Rodney,Assistant Coach,New Zealand,Rugby Sevens
COCKER Edwin,Assistant Coach,New Zealand,Rugby Sevens
CAMA Tomasi,Head Coach,New Zealand,Rugby Sevens
ROSS Stu,Assistant Coach,New Zealand,Rugby Sevens
MURPHY Amanda,Assistant Coach,New Zealand,Rugby Sevens
McMASTER Travis,Assistant Coach,New Zealand,Rugby Sevens
ANNAN Alyson Regina,Head Coach,China,Hockey
LU Zhuan,Head Coach,China,Rugby Sevens
PASQUALETTI Massimo,Assistant Coach,China,Rugby Sevens
GOMEZ AGUERA Salvador Emilio,Assistant Coach,China,Water Polo
JANE GIRALT Juan,Head Coach,China,Water Polo
WU Zhiyu,Assistant Coach,China,Water Polo
QU Tao,Coach,China,Rhythmic Gymnastics
SUN Dan,Coach,China,Rhythmic Gymnastics
XU Yanshu,Coach,China,Rhythmic Gymnastics
BLIZNYUK Anastasia,Coach,China,Rhythmic Gymnastics
LARHOLM Erik Jonas,Assistant Coach,Korea,Handball
RADIC Vanja,Assistant Coach,Korea,Handball
SIGNELL Kurt Henrik,Head Coach,Korea,Handball
AGAFONTSEV Sergiy,Coach,"Hong Kong, China",Artistic Gymnastics
KRCE Lucijan,Coach,Croatia,Artistic Gymnastics
MADAREVIC Vladimir,Coach,Croatia,Artistic Gymnastics
